Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2022-09-13 22:07:48,2022-09-14 23:09:24,UTC+02:00,2022-09-13 22:07:48,2022-09-14 06:05:35,91,13.9,432,476,241,47,144,44,473,0,90,84,false
2022-09-12 20:59:30,2022-09-13 22:07:48,UTC+02:00,2022-09-12 20:59:30,2022-09-13 06:21:52,100,15.1,508,562,263,90,155,54,475,0,90,87,false
2022-09-11 21:29:11,2022-09-12 20:59:30,UTC+02:00,2022-09-11 21:29:11,2022-09-12 06:45:18,100,15.9,492,556,194,129,169,64,494,23,88,85,false
2022-09-10 21:03:11,2022-09-11 21:29:11,UTC+02:00,2022-09-10 21:03:11,2022-09-11 06:36:36,92,15.5,511,573,313,83,115,62,554,74,89,73,false
2022-09-09 22:55:08,2022-09-10 21:03:11,UTC+02:00,2022-09-09 22:55:08,2022-09-10 07:02:03,75,13.8,447,486,244,90,113,39,598,92,91,85,false
2022-09-08 22:20:58,2022-09-09 22:55:08,UTC+02:00,2022-09-08 22:20:58,2022-09-09 06:01:26,69,13.1,402,458,173,91,138,56,583,74,88,91,false
2022-09-07 22:55:03,2022-09-08 22:20:58,UTC+02:00,2022-09-07 22:55:03,2022-09-08 06:30:35,68,13.4,397,455,212,79,106,58,581,74,87,87,false
2022-09-06 22:24:14,2022-09-07 22:55:03,UTC+02:00,2022-09-06 22:24:14,2022-09-07 05:54:37,75,13.0,421,450,198,69,154,29,565,72,93,79,false
2022-09-05 22:43:25,2022-09-06 22:24:14,UTC+02:00,2022-09-05 22:43:25,2022-09-06 06:31:35,69,13.2,418,468,177,75,166,50,603,95,91,76,false
2022-09-04 23:18:28,2022-09-05 22:43:25,UTC+02:00,2022-09-04 23:18:28,2022-09-05 06:29:37,59,12.6,403,431,154,94,155,28,678,172,95,72,false
2022-09-03 23:07:23,2022-09-04 23:18:28,UTC+02:00,2022-09-03 23:07:23,2022-09-04 01:46:00,26,12.5,151,158,98,32,21,7,575,74,95,88,false
2022-09-02 23:12:09,2022-09-03 23:07:23,UTC+02:00,2022-09-02 23:12:09,2022-09-03 05:58:18,68,13.2,358,406,174,73,111,48,525,50,90,85,false
2022-09-01 22:41:48,2022-09-02 23:12:09,UTC+02:00,2022-09-01 22:41:48,2022-09-02 06:31:24,83,13.2,436,469,221,88,127,33,525,44,94,83,false
2022-08-31 21:40:43,2022-09-01 22:41:48,UTC+02:00,2022-08-31 21:40:43,2022-09-01 06:28:45,85,13.4,471,528,267,89,115,57,557,67,90,80,false
2022-08-30 22:52:46,2022-08-31 21:40:43,UTC+02:00,2022-08-30 22:52:46,2022-08-31 06:11:08,71,13.1,374,437,168,83,123,63,526,53,85,75,false
2022-08-29 21:28:37,2022-08-30 22:52:46,UTC+02:00,2022-08-29 21:28:37,2022-08-30 05:03:19,82,13.2,425,452,232,74,119,27,519,47,96,79,false
2022-08-28 21:10:19,2022-08-29 21:28:37,UTC+02:00,2022-08-28 21:10:19,2022-08-29 06:12:01,84,13.3,476,542,223,84,169,66,569,56,89,71,false
2022-08-27 23:21:01,2022-08-28 21:10:19,UTC+02:00,2022-08-27 23:21:01,2022-08-28 07:29:50,81,13.1,440,489,287,66,87,49,544,60,91,80,false
2022-08-26 23:06:04,2022-08-27 23:21:01,UTC+02:00,2022-08-26 23:06:04,2022-08-27 06:36:56,74,13.4,379,448,176,76,127,69,509,29,84,84,false
2022-08-25 21:51:35,2022-08-26 23:06:04,UTC+02:00,2022-08-25 21:51:35,2022-08-26 06:29:44,90,13.1,479,518,147,117,215,39,529,38,93,86,false
2022-08-24 22:09:48,2022-08-25 21:51:35,UTC+02:00,2022-08-24 22:09:48,2022-08-25 06:45:04,87,13.4,470,515,254,84,132,45,538,53,92,84,false
2022-08-23 22:47:44,2022-08-24 22:09:48,UTC+02:00,2022-08-23 22:47:44,2022-08-24 06:59:55,82,13.2,458,492,198,92,168,34,561,68,93,77,false
2022-08-22 22:05:24,2022-08-23 22:47:44,UTC+02:00,2022-08-22 22:05:24,2022-08-23 05:22:48,77,13.5,391,437,148,98,145,46,508,38,89,71,false
2022-08-21 22:35:09,2022-08-22 22:05:24,UTC+02:00,2022-08-21 22:35:09,2022-08-22 07:01:19,87,13.5,470,504,228,100,142,34,539,67,93,64,false
2022-08-20 23:57:53,2022-08-21 22:35:09,UTC+02:00,2022-08-20 23:57:53,2022-08-21 08:05:16,71,14.9,443,487,121,115,207,44,621,79,91,54,false
2022-08-19 21:38:56,2022-08-20 23:57:53,UTC+02:00,2022-08-19 21:38:56,2022-08-20 04:29:05,66,13.3,379,410,138,98,143,31,570,97,92,68,false
2022-08-18 22:46:10,2022-08-19 21:38:56,UTC+02:00,2022-08-18 22:46:10,2022-08-19 04:59:39,58,13.5,340,373,132,73,135,33,585,76,92,80,false
2022-08-17 23:03:55,2022-08-18 22:46:10,UTC+02:00,2022-08-17 23:03:55,2022-08-18 05:44:47,67,13.2,377,401,154,79,144,24,566,69,95,84,false
2022-08-16 23:50:00,2022-08-17 23:03:55,UTC+02:00,2022-08-16 23:50:00,2022-08-17 07:00:12,70,13.6,389,430,147,80,162,41,559,58,93,77,false
2022-08-15 23:14:53,2022-08-16 23:50:00,UTC+02:00,2022-08-15 23:14:53,2022-08-16 06:44:17,75,13.4,422,447,199,77,146,25,563,65,94,69,false
2022-08-14 22:53:40,2022-08-15 23:14:53,UTC+02:00,2022-08-14 22:53:40,2022-08-15 06:08:40,72,13.2,401,432,160,98,143,31,561,90,93,64,false
2022-08-14 01:32:15,2022-08-14 22:53:40,UTC+02:00,2022-08-14 01:32:15,2022-08-14 08:02:32,61,13.7,360,390,158,74,128,30,593,72,92,61,false
2022-08-13 01:34:08,2022-08-14 01:32:15,UTC+02:00,2022-08-13 01:34:08,2022-08-13 08:13:36,69,13.7,342,399,118,93,131,57,495,14,85,43,false
2022-08-11 21:03:58,2022-08-13 01:34:08,UTC+02:00,2022-08-11 21:03:58,2022-08-12 06:18:10,95,13.5,510,550,231,99,180,40,539,8,93,77,false
2022-08-10 22:02:33,2022-08-11 21:03:58,UTC+02:00,2022-08-10 22:02:33,2022-08-11 06:57:03,97,13.5,497,534,245,84,168,37,513,2,94,79,false
2022-08-09 21:56:16,2022-08-10 22:02:33,UTC+02:00,2022-08-09 21:56:16,2022-08-10 06:40:40,99,13.5,462,524,190,103,169,62,466,44,88,62,false
2022-08-08 22:39:54,2022-08-09 21:56:16,UTC+02:00,2022-08-09 13:05:05,2022-08-09 14:41:13,17,13.2,88,94,36,23,29,6,514,44,100,,true
2022-08-08 22:39:54,2022-08-09 21:56:16,UTC+02:00,2022-08-08 22:39:54,2022-08-09 07:00:16,85,13.1,471,500,258,98,115,29,555,69,94,75,false
2022-08-07 22:08:37,2022-08-08 22:39:54,UTC+02:00,2022-08-07 22:08:37,2022-08-08 06:13:07,70,13.6,428,481,232,67,129,53,609,90,89,64,false
2022-08-07 01:51:07,2022-08-07 22:08:37,UTC+02:00,2022-08-07 01:51:07,2022-08-07 08:03:38,61,13.2,342,370,123,84,135,28,562,47,94,47,false
2022-08-05 22:22:11,2022-08-07 01:51:07,UTC+02:00,2022-08-05 22:22:11,2022-08-06 06:38:42,84,13.2,453,495,189,107,157,42,540,68,91,93,false
2022-08-04 22:13:57,2022-08-05 22:22:11,UTC+02:00,2022-08-04 22:13:57,2022-08-05 06:00:11,77,13.5,430,466,147,101,182,36,556,59,92,94,false
2022-08-03 22:23:03,2022-08-04 22:13:57,UTC+02:00,2022-08-03 22:23:03,2022-08-04 06:16:29,80,13.5,434,473,191,101,142,39,545,74,92,90,false
2022-08-02 22:05:42,2022-08-03 22:23:03,UTC+02:00,2022-08-02 22:05:42,2022-08-03 06:20:47,75,13.6,439,495,185,116,138,56,586,72,90,81,false
2022-08-01 22:30:09,2022-08-02 22:05:42,UTC+02:00,2022-08-01 22:30:09,2022-08-02 06:22:10,69,13.4,409,471,202,90,117,62,593,86,89,79,false
2022-07-31 22:40:42,2022-08-01 22:30:09,UTC+02:00,2022-07-31 22:40:42,2022-08-01 05:54:44,71,13.4,419,434,243,72,104,15,593,86,96,77,false
2022-07-30 23:56:07,2022-07-31 22:40:42,UTC+02:00,2022-07-30 23:56:07,2022-07-31 07:32:44,71,13.6,420,454,256,53,111,34,589,83,93,80,false
2022-07-30 00:02:19,2022-07-30 23:56:07,UTC+02:00,2022-07-30 00:02:19,2022-07-30 07:18:45,72,13.7,403,436,163,91,149,33,557,86,92,72,false
2022-07-28 23:01:14,2022-07-30 00:02:19,UTC+02:00,2022-07-28 23:01:14,2022-07-29 06:16:13,71,13.5,401,433,227,73,101,32,562,53,92,86,false
2022-07-27 21:41:53,2022-07-28 23:01:14,UTC+02:00,2022-07-27 21:41:53,2022-07-28 06:14:44,82,13.5,472,513,211,94,167,41,572,76,91,69,false
2022-07-26 23:20:51,2022-07-27 21:41:53,UTC+02:00,2022-07-26 23:20:51,2022-07-27 06:13:46,67,13.4,393,413,213,58,122,20,591,65,95,70,false
2022-07-25 22:24:32,2022-07-26 23:20:51,UTC+02:00,2022-07-25 22:24:32,2022-07-26 06:16:03,78,13.4,439,470,227,82,130,31,561,86,93,56,false
2022-07-25 00:08:13,2022-07-25 22:24:32,UTC+02:00,2022-07-25 00:08:13,2022-07-25 06:21:12,63,13.7,337,373,149,69,119,36,540,146,93,55,false
2022-07-24 03:44:26,2022-07-25 00:08:13,UTC+02:00,2022-07-24 13:39:00,2022-07-24 15:01:12,12,13.9,76,82,65,11,0,6,616,146,100,,true
2022-07-24 03:44:26,2022-07-25 00:08:13,UTC+02:00,2022-07-24 03:44:26,2022-07-24 07:32:16,37,13.9,206,227,124,48,34,21,565,65,93,42,false
2022-07-22 23:27:15,2022-07-24 03:44:26,UTC+02:00,2022-07-22 23:27:15,2022-07-23 07:59:38,78,13.8,479,512,210,130,139,33,614,81,94,73,false
2022-07-21 23:08:56,2022-07-22 23:27:15,UTC+02:00,2022-07-21 23:08:56,2022-07-22 06:02:46,65,13.5,376,414,206,75,95,38,581,63,90,92,false
2022-07-20 23:00:43,2022-07-21 23:08:56,UTC+02:00,2022-07-20 23:00:43,2022-07-21 06:09:28,73,13.6,390,428,192,62,136,38,533,60,91,87,false
2022-07-19 22:25:40,2022-07-20 23:00:43,UTC+02:00,2022-07-19 22:25:40,2022-07-20 05:57:00,74,13.4,406,448,257,61,88,42,551,70,90,83,false
2022-07-18 23:29:33,2022-07-19 22:25:40,UTC+02:00,2022-07-18 23:29:33,2022-07-19 06:14:45,70,13.4,367,405,168,76,123,38,526,51,91,78,false
2022-07-17 22:46:15,2022-07-18 23:29:33,UTC+02:00,2022-07-17 22:46:15,2022-07-18 05:55:00,83,13.9,402,429,155,79,168,27,485,15,93,89,false
2022-07-16 21:52:50,2022-07-17 22:46:15,UTC+02:00,2022-07-16 21:52:50,2022-07-17 07:14:18,95,15.0,518,561,231,101,186,43,547,56,92,84,false
2022-07-15 23:21:14,2022-07-16 21:52:50,UTC+02:00,2022-07-15 23:21:14,2022-07-16 07:17:33,76,13.4,430,476,136,115,179,46,569,63,90,87,false
2022-07-14 23:03:53,2022-07-15 23:21:14,UTC+02:00,2022-07-14 23:03:53,2022-07-15 06:58:42,79,13.2,430,474,215,89,126,44,545,51,92,90,false
2022-07-13 22:00:52,2022-07-14 23:03:53,UTC+02:00,2022-07-13 22:00:52,2022-07-14 06:59:27,83,13.8,492,538,235,109,148,46,597,58,91,89,false
2022-07-12 22:48:54,2022-07-13 22:00:52,UTC+02:00,2022-07-12 22:48:54,2022-07-13 06:44:56,75,13.4,437,475,222,90,125,38,582,60,92,93,false
2022-07-11 22:49:47,2022-07-12 22:48:54,UTC+02:00,2022-07-11 22:49:47,2022-07-12 06:59:52,80,13.2,442,490,193,94,155,48,555,45,92,91,false
2022-07-10 22:08:24,2022-07-11 22:49:47,UTC+02:00,2022-07-10 22:08:24,2022-07-11 06:28:17,85,13.2,447,500,213,95,139,53,528,56,91,86,false
2022-07-09 23:05:13,2022-07-10 22:08:24,UTC+02:00,2022-07-09 23:05:13,2022-07-10 06:58:48,76,13.1,421,473,206,79,136,52,553,54,90,90,false
2022-07-08 22:56:28,2022-07-09 23:05:13,UTC+02:00,2022-07-08 22:56:28,2022-07-09 07:00:00,82,13.4,442,483,173,97,172,41,542,72,92,87,false
2022-07-07 22:21:50,2022-07-08 22:56:28,UTC+02:00,2022-07-07 22:21:50,2022-07-08 06:16:43,76,13.6,412,473,215,64,133,61,542,67,87,94,false
2022-07-06 22:47:42,2022-07-07 22:21:50,UTC+02:00,2022-07-06 22:47:42,2022-07-07 06:20:00,71,13.6,395,452,178,87,130,57,553,65,88,93,false
2022-07-05 22:28:26,2022-07-06 22:47:42,UTC+02:00,2022-07-05 22:28:26,2022-07-06 06:30:32,72,13.7,432,482,268,71,93,50,598,65,89,93,false
2022-07-04 22:42:20,2022-07-05 22:28:26,UTC+02:00,2022-07-04 22:42:20,2022-07-05 06:06:56,72,13.5,402,444,167,80,155,42,558,60,91,91,false
2022-07-03 22:17:18,2022-07-04 22:42:20,UTC+02:00,2022-07-03 22:17:18,2022-07-04 06:06:25,74,13.5,427,467,193,63,171,40,580,60,91,91,false
2022-07-02 22:49:20,2022-07-03 22:17:18,UTC+02:00,2022-07-02 22:49:20,2022-07-03 06:29:48,74,13.2,412,460,203,97,112,48,554,45,89,87,false
2022-07-01 22:02:52,2022-07-02 22:49:20,UTC+02:00,2022-07-01 22:02:52,2022-07-02 06:29:33,85,13.3,459,506,233,73,153,47,537,54,91,89,false
2022-06-30 21:43:08,2022-07-01 22:02:52,UTC+02:00,2022-06-30 21:43:08,2022-07-01 06:07:20,82,13.4,439,502,206,82,151,63,538,66,87,88,false
2022-06-29 22:10:29,2022-06-30 21:43:08,UTC+02:00,2022-06-29 22:10:29,2022-06-30 05:54:48,78,13.6,433,464,232,80,121,31,556,63,93,86,false
2022-06-28 22:27:45,2022-06-29 22:10:29,UTC+02:00,2022-06-28 22:27:45,2022-06-29 06:06:22,73,13.4,422,457,190,71,161,35,575,48,92,80,false
2022-06-27 20:25:51,2022-06-28 22:27:45,UTC+02:00,2022-06-27 20:25:51,2022-06-28 05:35:16,84,13.6,483,547,276,98,109,64,579,60,88,75,false
2022-06-26 21:23:09,2022-06-27 20:25:51,UTC+02:00,2022-06-26 21:23:09,2022-06-27 06:04:40,80,13.5,459,521,215,88,156,62,577,60,89,78,false
2022-06-25 21:58:44,2022-06-26 21:23:09,UTC+02:00,2022-06-25 21:58:44,2022-06-26 06:33:44,80,13.6,437,511,241,65,131,74,545,72,87,80,false
2022-06-24 22:50:45,2022-06-25 21:58:44,UTC+02:00,2022-06-24 22:50:45,2022-06-25 06:29:32,69,13.4,407,459,150,89,168,52,590,116,90,70,false
2022-06-23 21:56:08,2022-06-24 22:50:45,UTC+02:00,2022-06-23 21:56:08,2022-06-24 02:44:43,50,13.7,272,288,200,20,52,16,543,58,94,93,false
2022-06-22 22:18:35,2022-06-23 21:56:08,UTC+02:00,2022-06-22 22:18:35,2022-06-23 06:07:20,75,13.6,433,466,167,87,179,33,575,57,92,90,false
2022-06-21 21:46:00,2022-06-22 22:18:35,UTC+02:00,2022-06-21 21:46:00,2022-06-22 06:05:18,81,13.7,466,499,275,70,121,33,573,54,94,91,false
2022-06-20 21:31:14,2022-06-21 21:46:00,UTC+02:00,2022-06-20 21:31:14,2022-06-21 05:45:00,82,13.4,463,491,205,85,173,28,567,60,95,86,false
2022-06-19 21:45:21,2022-06-20 21:31:14,UTC+02:00,2022-06-19 21:45:21,2022-06-20 05:54:41,80,13.4,445,487,230,73,142,42,555,72,93,85,false
2022-06-18 22:27:56,2022-06-19 21:45:21,UTC+02:00,2022-06-18 22:27:56,2022-06-19 06:20:46,76,13.4,434,473,187,98,149,39,574,81,92,89,false
2022-06-17 23:21:42,2022-06-18 22:27:56,UTC+02:00,2022-06-17 23:21:42,2022-06-18 06:06:30,65,13.4,366,390,159,89,118,24,564,69,94,87,false
2022-06-16 22:13:12,2022-06-17 23:21:42,UTC+02:00,2022-06-16 22:13:12,2022-06-17 06:05:03,77,13.5,424,471,220,97,107,47,550,74,89,90,false
2022-06-15 22:24:50,2022-06-16 22:13:12,UTC+02:00,2022-06-15 22:24:50,2022-06-16 05:44:36,68,13.4,400,439,213,77,110,39,587,63,91,86,false
2022-06-14 23:04:20,2022-06-15 22:24:50,UTC+02:00,2022-06-14 23:04:20,2022-06-15 06:04:26,73,13.4,395,419,246,47,102,24,543,69,94,80,false
2022-06-13 22:34:26,2022-06-14 23:04:20,UTC+02:00,2022-06-13 22:34:26,2022-06-14 05:54:50,77,13.3,419,440,182,70,167,21,542,72,95,77,false
2022-06-12 22:49:17,2022-06-13 22:34:26,UTC+02:00,2022-06-12 22:49:17,2022-06-13 06:34:37,76,13.4,419,465,189,78,152,46,549,72,91,74,false
2022-06-11 23:37:19,2022-06-12 22:49:17,UTC+02:00,2022-06-11 23:37:19,2022-06-12 06:59:51,69,13.6,406,443,220,73,113,37,588,105,91,66,false
2022-06-11 01:59:21,2022-06-11 23:37:19,UTC+02:00,2022-06-11 01:59:21,2022-06-11 08:10:10,55,13.5,336,368,116,67,153,32,606,86,91,47,false
2022-06-09 23:19:16,2022-06-11 01:59:21,UTC+02:00,2022-06-09 23:19:16,2022-06-10 06:04:17,63,13.5,371,405,190,69,112,34,586,60,91,83,false
2022-06-08 22:59:31,2022-06-09 23:19:16,UTC+02:00,2022-06-08 22:59:31,2022-06-09 06:06:06,74,13.6,385,426,187,80,118,41,521,51,92,76,false
2022-06-07 22:03:42,2022-06-08 22:59:31,UTC+02:00,2022-06-07 22:03:42,2022-06-08 05:44:50,83,13.9,445,461,246,62,137,16,533,33,96,78,false
2022-06-06 21:45:36,2022-06-07 22:03:42,UTC+02:00,2022-06-06 21:45:36,2022-06-07 06:07:42,89,13.8,462,502,207,108,147,40,520,42,92,70,false
2022-06-05 22:13:28,2022-06-06 21:45:36,UTC+02:00,2022-06-05 22:13:28,2022-06-06 05:48:13,86,13.9,409,449,177,76,156,40,476,0,92,68,false
2022-06-04 21:58:21,2022-06-05 22:13:28,UTC+02:00,2022-06-04 21:58:21,2022-06-05 09:22:53,100,15.1,596,684,345,123,128,88,578,36,87,62,false
2022-06-03 23:29:10,2022-06-04 21:58:21,UTC+02:00,2022-06-03 23:29:10,2022-06-04 08:01:01,88,13.7,467,512,210,110,147,45,529,48,92,67,false
2022-06-02 21:57:48,2022-06-03 23:29:10,UTC+02:00,2022-06-02 21:57:48,2022-06-03 06:16:01,84,14.0,469,497,219,95,155,28,556,70,94,69,false
2022-06-01 22:45:30,2022-06-02 21:57:48,UTC+02:00,2022-06-01 22:45:30,2022-06-02 06:17:52,70,14.0,427,452,193,86,148,25,607,116,94,63,false
