Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-09-24 22:25:32,2022-09-25 23:02:09,UTC+02:00,89,48,90,33.90,96.60,15.8,2818,174,67,2022-09-24 22:25:32,2022-09-25 07:10:26,80,13.4,475,523,252,106,117,48,595,67,91,84
2022-09-23 23:39:02,2022-09-24 22:25:32,UTC+02:00,56,48,79,33.98,98.11,18.5,3216,176,74,2022-09-23 23:39:02,2022-09-24 06:31:11,71,13.5,382,410,152,86,144,28,536,44,93,80
2022-09-22 22:17:43,2022-09-23 23:39:02,UTC+02:00,62,47,79,33.50,97.47,13.1,2524,172,67,2022-09-22 22:17:43,2022-09-23 06:32:47,85,13.3,467,495,247,80,140,28,551,44,94,88
2022-09-21 21:57:29,2022-09-22 22:17:43,UTC+02:00,71,47,82,33.70,96.34,15.5,2993,151,69,2022-09-21 21:57:29,2022-09-22 06:06:19,85,13.4,474,488,207,88,179,14,554,47,96,83
2022-09-20 22:08:56,2022-09-21 21:57:29,UTC+02:00,61,48,82,33.40,96.52,15.5,2828,168,70,2022-09-20 22:08:56,2022-09-21 06:35:04,84,13.3,469,506,206,104,159,37,559,69,92,73
2022-09-19 22:48:18,2022-09-20 22:08:56,UTC+02:00,61,49,84,33.49,96.20,12.6,2316,153,67,2022-09-19 22:48:18,2022-09-20 06:35:30,70,13.5,436,465,164,85,187,29,625,116,94,72
2022-09-19 01:36:01,2022-09-19 22:48:18,UTC+02:00,42,46,82,34.24,97.56,15.8,2571,183,70,2022-09-19 01:36:01,2022-09-19 07:00:56,50,13.3,292,324,146,61,85,32,580,65,90,69
2022-09-17 23:01:12,2022-09-19 01:36:01,UTC+02:00,71,46,89,33.86,98.38,16.8,3029,182,67,2022-09-17 23:01:12,2022-09-18 06:38:47,72,13.4,417,458,215,87,115,41,578,95,91,67
2022-09-17 01:54:12,2022-09-17 23:01:12,UTC+02:00,42,54,77,34.00,96.40,11.3,2016,148,70,2022-09-17 01:54:12,2022-09-17 07:52:46,59,14.4,326,359,169,72,85,33,555,46,92,48
2022-09-15 21:58:45,2022-09-17 01:54:12,UTC+02:00,84,49,96,33.70,96.00,15.8,3249,159,75,2022-09-15 21:58:45,2022-09-16 06:29:13,80,14.1,468,507,251,86,131,39,581,62,92,88
2022-09-14 23:09:24,2022-09-15 21:58:45,UTC+02:00,84,45,95,33.80,95.68,17.2,2892,178,69,2022-09-14 23:09:24,2022-09-15 06:29:41,73,13.7,392,440,155,85,152,48,535,26,88,77
