Cycle start time,Cycle end time,Sleep onset,Wake onset,Respiratory rate (rpm),Asleep duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep debt (min)
2022-07-20 23:00:43,2022-07-21 23:08:56,2022-07-20 23:00:43,2022-07-21 06:09:28,13.6,390,192,62,136,38,60
2022-07-19 22:25:40,2022-07-20 23:00:43,2022-07-19 22:25:40,2022-07-20 05:57:00,13.4,406,257,61,88,42,70
2022-07-18 23:29:33,2022-07-19 22:25:40,2022-07-18 23:29:33,2022-07-19 06:14:45,13.4,367,168,76,123,38,51
2022-07-17 22:46:15,2022-07-18 23:29:33,2022-07-17 22:46:15,2022-07-18 05:55:00,13.9,402,155,79,168,27,15
2022-07-16 21:52:50,2022-07-17 22:46:15,2022-07-16 21:52:50,2022-07-17 07:14:18,15.0,518,231,101,186,43,56
2022-07-15 23:21:14,2022-07-16 21:52:50,2022-07-15 23:21:14,2022-07-16 07:17:33,13.4,430,136,115,179,46,63
2022-07-14 23:03:53,2022-07-15 23:21:14,2022-07-14 23:03:53,2022-07-15 06:58:42,13.2,430,215,89,126,44,51
2022-07-13 22:00:52,2022-07-14 23:03:53,2022-07-13 22:00:52,2022-07-14 06:59:27,13.8,492,235,109,148,46,58
2022-07-12 22:48:54,2022-07-13 22:00:52,2022-07-12 22:48:54,2022-07-13 06:44:56,13.4,437,222,90,125,38,60
2022-07-11 22:49:47,2022-07-12 22:48:54,2022-07-11 22:49:47,2022-07-12 06:59:52,13.2,442,193,94,155,48,45
2022-07-10 22:08:24,2022-07-11 22:49:47,2022-07-10 22:08:24,2022-07-11 06:28:17,13.2,447,213,95,139,53,56
2022-07-09 23:05:13,2022-07-10 22:08:24,2022-07-09 23:05:13,2022-07-10 06:58:48,13.1,421,206,79,136,52,54
2022-07-08 22:56:28,2022-07-09 23:05:13,2022-07-08 22:56:28,2022-07-09 07:00:00,13.4,442,173,97,172,41,72
2022-07-07 22:21:50,2022-07-08 22:56:28,2022-07-07 22:21:50,2022-07-08 06:16:43,13.6,412,215,64,133,61,67
2022-07-06 22:47:42,2022-07-07 22:21:50,2022-07-06 22:47:42,2022-07-07 06:20:00,13.6,395,178,87,130,57,65
2022-07-05 22:28:26,2022-07-06 22:47:42,2022-07-05 22:28:26,2022-07-06 06:30:32,13.7,432,268,71,93,50,65
2022-07-04 22:42:20,2022-07-05 22:28:26,2022-07-04 22:42:20,2022-07-05 06:06:56,13.5,402,167,80,155,42,60
2022-07-03 22:17:18,2022-07-04 22:42:20,2022-07-03 22:17:18,2022-07-04 06:06:25,13.5,427,193,63,171,40,60
2022-07-02 22:49:20,2022-07-03 22:17:18,2022-07-02 22:49:20,2022-07-03 06:29:48,13.2,412,203,97,112,48,45
2022-07-01 22:02:52,2022-07-02 22:49:20,2022-07-01 22:02:52,2022-07-02 06:29:33,13.3,459,233,73,153,47,54
2022-06-30 21:43:08,2022-07-01 22:02:52,2022-06-30 21:43:08,2022-07-01 06:07:20,13.4,439,206,82,151,63,66
2022-06-29 22:10:29,2022-06-30 21:43:08,2022-06-29 22:10:29,2022-06-30 05:54:48,13.6,433,232,80,121,31,63
2022-06-28 22:27:45,2022-06-29 22:10:29,2022-06-28 22:27:45,2022-06-29 06:06:22,13.4,422,190,71,161,35,48
2022-06-27 20:25:51,2022-06-28 22:27:45,2022-06-27 20:25:51,2022-06-28 05:35:16,13.6,483,276,98,109,64,60
2022-06-26 21:23:09,2022-06-27 20:25:51,2022-06-26 21:23:09,2022-06-27 06:04:40,13.5,459,215,88,156,62,60
2022-06-25 21:58:44,2022-06-26 21:23:09,2022-06-25 21:58:44,2022-06-26 06:33:44,13.6,437,241,65,131,74,72
2022-06-24 22:50:45,2022-06-25 21:58:44,2022-06-24 22:50:45,2022-06-25 06:29:32,13.4,407,150,89,168,52,116
2022-06-23 21:56:08,2022-06-24 22:50:45,2022-06-23 21:56:08,2022-06-24 02:44:43,13.7,272,200,20,52,16,58
2022-06-22 22:18:35,2022-06-23 21:56:08,2022-06-22 22:18:35,2022-06-23 06:07:20,13.6,433,167,87,179,33,57
2022-06-21 21:46:00,2022-06-22 22:18:35,2022-06-21 21:46:00,2022-06-22 06:05:18,13.7,466,275,70,121,33,54
2022-06-20 21:31:14,2022-06-21 21:46:00,2022-06-20 21:31:14,2022-06-21 05:45:00,13.4,463,205,85,173,28,60
2022-06-19 21:45:21,2022-06-20 21:31:14,2022-06-19 21:45:21,2022-06-20 05:54:41,13.4,445,230,73,142,42,72
2022-06-18 22:27:56,2022-06-19 21:45:21,2022-06-18 22:27:56,2022-06-19 06:20:46,13.4,434,187,98,149,39,81
2022-06-17 23:21:42,2022-06-18 22:27:56,2022-06-17 23:21:42,2022-06-18 06:06:30,13.4,366,159,89,118,24,69
2022-06-16 22:13:12,2022-06-17 23:21:42,2022-06-16 22:13:12,2022-06-17 06:05:03,13.5,424,220,97,107,47,74
2022-06-15 22:24:50,2022-06-16 22:13:12,2022-06-15 22:24:50,2022-06-16 05:44:36,13.4,400,213,77,110,39,63
2022-06-14 23:04:20,2022-06-15 22:24:50,2022-06-14 23:04:20,2022-06-15 06:04:26,13.4,395,246,47,102,24,69
2022-06-13 22:34:26,2022-06-14 23:04:20,2022-06-13 22:34:26,2022-06-14 05:54:50,13.3,419,182,70,167,21,72
2022-06-12 22:49:17,2022-06-13 22:34:26,2022-06-12 22:49:17,2022-06-13 06:34:37,13.4,419,189,78,152,46,72
2022-06-11 23:37:19,2022-06-12 22:49:17,2022-06-11 23:37:19,2022-06-12 06:59:51,13.6,406,220,73,113,37,105
2022-06-11 01:59:21,2022-06-11 23:37:19,2022-06-11 01:59:21,2022-06-11 08:10:10,13.5,336,116,67,153,32,86
2022-06-09 23:19:16,2022-06-11 01:59:21,2022-06-09 23:19:16,2022-06-10 06:04:17,13.5,371,190,69,112,34,60
2022-06-08 22:59:31,2022-06-09 23:19:16,2022-06-08 22:59:31,2022-06-09 06:06:06,13.6,385,187,80,118,41,51
2022-06-07 22:03:42,2022-06-08 22:59:31,2022-06-07 22:03:42,2022-06-08 05:44:50,13.9,445,246,62,137,16,33
2022-06-06 21:45:36,2022-06-07 22:03:42,2022-06-06 21:45:36,2022-06-07 06:07:42,13.8,462,207,108,147,40,42
2022-06-05 22:13:28,2022-06-06 21:45:36,2022-06-05 22:13:28,2022-06-06 05:48:13,13.9,409,177,76,156,40,0
2022-06-04 21:58:21,2022-06-05 22:13:28,2022-06-04 21:58:21,2022-06-05 09:22:53,15.1,596,345,123,128,88,36
2022-06-03 23:29:10,2022-06-04 21:58:21,2022-06-03 23:29:10,2022-06-04 08:01:01,13.7,467,210,110,147,45,48
2022-06-02 21:57:48,2022-06-03 23:29:10,2022-06-02 21:57:48,2022-06-03 06:16:01,14.0,469,219,95,155,28,70
2022-06-01 22:45:30,2022-06-02 21:57:48,2022-06-01 22:45:30,2022-06-02 06:17:52,14.0,427,193,86,148,25,116
2022-06-01 02:35:10,2022-06-01 22:45:30,2022-06-01 02:35:10,2022-06-01 08:04:22,13.9,299,182,48,69,29,60
2022-05-30 22:29:17,2022-06-01 02:35:10,2022-05-30 22:29:17,2022-05-31 06:15:33,13.7,421,183,91,147,28,45
2022-05-29 21:41:00,2022-05-30 22:29:17,2022-05-29 21:41:00,2022-05-30 06:05:04,13.4,445,205,116,124,59,45
2022-05-28 23:46:03,2022-05-29 21:41:00,2022-05-28 23:46:03,2022-05-29 08:05:37,13.7,453,222,77,154,41,58
2022-05-27 22:41:14,2022-05-28 23:46:03,2022-05-27 22:41:14,2022-05-28 06:00:24,13.9,413,162,84,167,25,60
2022-05-26 21:56:51,2022-05-27 22:41:14,2022-05-26 21:56:51,2022-05-27 05:58:32,14.0,434,242,70,122,43,60
2022-05-25 22:05:01,2022-05-26 21:56:51,2022-05-25 22:05:01,2022-05-26 06:16:48,13.5,435,189,108,138,56,60
2022-05-24 22:36:19,2022-05-25 22:05:01,2022-05-24 22:36:19,2022-05-25 06:16:20,13.4,422,174,90,158,38,60
2022-05-23 22:03:58,2022-05-24 22:36:19,2022-05-23 22:03:58,2022-05-24 06:05:24,13.7,432,246,71,115,49,51
2022-05-22 21:53:09,2022-05-23 22:03:58,2022-05-22 21:53:09,2022-05-23 06:08:05,13.5,467,261,92,114,24,57
2022-05-21 22:01:06,2022-05-22 21:53:09,2022-05-21 22:01:06,2022-05-22 06:35:59,13.7,481,230,91,160,33,60
2022-05-20 22:27:07,2022-05-21 22:01:06,2022-05-20 22:27:07,2022-05-21 06:31:21,13.6,433,243,76,114,50,72
2022-05-19 22:59:06,2022-05-20 22:27:07,2022-05-19 22:59:06,2022-05-20 06:13:58,13.8,392,178,70,144,42,70
2022-05-18 22:07:56,2022-05-19 22:59:06,2022-05-18 22:07:56,2022-05-19 05:07:42,13.6,388,167,78,143,31,66
2022-05-17 21:36:19,2022-05-18 22:07:56,2022-05-17 21:36:19,2022-05-18 06:14:39,13.5,473,187,101,185,45,77
2022-05-16 21:49:36,2022-05-17 21:36:19,2022-05-16 21:49:36,2022-05-17 06:19:41,13.6,464,235,78,151,45,189
2022-05-15 23:37:51,2022-05-16 21:49:36,2022-05-15 23:37:51,2022-05-16 06:05:23,13.7,101,29,3,69,286,42
2022-05-14 21:47:16,2022-05-15 23:37:51,2022-05-14 21:47:16,2022-05-15 06:28:38,13.5,476,256,97,123,45,30
2022-05-13 21:51:28,2022-05-14 21:47:16,2022-05-13 21:51:28,2022-05-14 05:43:47,13.3,429,194,99,136,43,0
2022-05-12 20:31:37,2022-05-13 21:51:28,2022-05-12 20:31:37,2022-05-13 06:15:06,13.8,511,260,95,156,72,21
2022-05-11 20:20:05,2022-05-12 20:31:37,2022-05-11 20:20:05,2022-05-12 05:45:46,15.4,508,341,76,91,57,63
2022-05-10 21:32:30,2022-05-11 20:20:05,2022-05-10 21:32:30,2022-05-11 05:54:02,13.7,470,217,92,161,31,90
2022-05-09 22:28:52,2022-05-10 21:32:30,2022-05-09 22:28:52,2022-05-10 06:03:37,13.6,432,193,105,134,23,77
2022-05-08 22:58:52,2022-05-09 22:28:52,2022-05-08 22:58:52,2022-05-09 06:02:56,13.2,398,140,85,173,26,116
2022-05-08 03:23:33,2022-05-08 22:58:52,2022-05-08 03:23:33,2022-05-08 08:18:11,12.9,281,154,50,77,13,67
2022-05-06 23:01:26,2022-05-08 03:23:33,2022-05-06 23:01:26,2022-05-07 06:28:54,13.4,409,181,87,141,38,60
2022-05-05 21:29:58,2022-05-06 23:01:26,2022-05-05 21:29:58,2022-05-06 05:54:36,13.4,466,190,112,164,38,81
2022-05-04 22:19:57,2022-05-05 21:29:58,2022-05-04 22:19:57,2022-05-05 05:54:27,13.4,428,167,96,165,26,67
