Cycle start time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain
2022-03-28 22:11:13,29.0,51.0,55.0,15.9
2022-03-27 22:51:16,52.0,49.0,72.0,18.3
2022-03-27 00:01:43,51.0,47.0,70.0,17.4
2022-03-25 23:47:05,78.0,47.0,81.0,5.0
2022-03-24 23:06:41,63.0,48.0,77.0,11.6
2022-03-23 22:17:19,88.0,45.0,85.0,13.8
2022-03-22 22:55:11,87.0,46.0,86.0,17.6
2022-03-21 22:22:51,66.0,46.0,77.0,19.3
2022-03-20 21:28:16,65.0,46.0,78.0,15.1
2022-03-19 23:18:26,42.0,50.0,68.0,16.7
2022-03-18 22:37:28,53.0,47.0,75.0,20.5
2022-03-17 21:56:15,62.0,46.0,79.0,13.7
2022-03-16 22:15:42,70.0,46.0,81.0,10.1
2022-03-15 23:16:46,74.0,49.0,84.0,10.3
2022-03-14 21:17:44,84.0,45.0,82.0,20.2
2022-03-13 20:36:35,81.0,46.0,81.0,11.6
2022-03-12 22:11:11,79.0,49.0,81.0,5.3
2022-03-11 21:43:15,80.0,53.0,85.0,20.4
2022-03-10 22:28:51,68.0,48.0,77.0,8.9
2022-03-09 21:55:28,57.0,48.0,74.0,16.8
2022-03-08 21:55:02,75.0,46.0,77.0,18.1
2022-03-07 21:46:17,51.0,49.0,71.0,10.1
2022-03-06 22:26:31,74.0,47.0,80.0,18.5
2022-03-06 00:04:51,48.0,46.0,69.0,8.0
2022-03-04 23:02:04,58.0,47.0,77.0,13.1
2022-03-03 22:07:52,38.0,49.0,66.0,14.8
2022-03-02 22:08:59,56.0,47.0,79.0,19.1
2022-03-01 22:38:24,46.0,49.0,73.0,15.4
2022-02-28 22:21:58,62.0,49.0,83.0,11.9
2022-02-27 22:40:54,73.0,47.0,87.0,19.7
2022-02-26 22:42:23,71.0,46.0,85.0,14.5
2022-02-25 23:03:02,80.0,46.0,87.0,12.3
2022-02-24 23:12:13,38.0,51.0,68.0,6.0
2022-02-23 23:01:48,84.0,47.0,89.0,19.4
2022-02-22 22:29:32,87.0,48.0,91.0,16.4
2022-02-21 22:30:21,72.0,47.0,83.0,18.1
2022-02-20 22:22:50,72.0,47.0,82.0,17.6
2022-02-19 21:58:59,86.0,46.0,88.0,7.8
2022-02-18 21:33:59,52.0,52.0,76.0,18.4
