Cycle start time,Activity Strain,Average HR (bpm),Max HR (bpm)
2022-03-06 22:26:31,17.3,153,172
2022-03-04 23:02:04,9.7,127,160
2022-03-03 22:07:52,5.7,97,133
2022-03-03 22:07:52,10.6,153,173
2022-03-02 22:08:59,17.4,147,171
2022-03-01 22:38:24,13.0,121,171
2022-02-28 22:21:58,4.5,83,131
2022-02-27 22:40:54,16.4,144,171
2022-02-27 22:40:54,5.6,96,135
2022-02-27 22:40:54,12.4,154,166
2022-02-26 22:42:23,12.1,126,166
2022-02-25 23:03:02,11.5,115,159
2022-02-23 23:01:48,12.6,137,157
2022-02-23 23:01:48,8.3,133,163
2022-02-23 23:01:48,15.0,157,176
2022-02-22 22:29:32,11.3,114,157
2022-02-22 22:29:32,5.8,115,136
2022-02-22 22:29:32,10.0,142,161
2022-02-21 22:30:21,11.7,129,169
2022-02-21 22:30:21,6.3,98,139
2022-02-21 22:30:21,5.8,151,178
2022-02-21 22:30:21,8.1,144,164
2022-02-20 22:22:50,15.3,137,170
2022-02-18 21:33:59,17.4,151,171
2022-02-17 21:39:50,8.8,144,167
2022-02-17 21:39:50,16.7,137,156
2022-02-16 20:31:44,5.2,110,132
2022-02-16 20:31:44,7.6,139,156
2022-02-15 23:30:14,4.2,97,126
2022-02-15 23:30:14,9.7,142,178
2022-02-14 20:08:27,12.0,146,170
2022-02-14 20:08:27,4.2,96,129
2022-02-14 20:08:27,11.9,156,174
2022-02-13 21:37:00,4.5,86,141
2022-02-13 21:37:00,4.2,98,123
2022-02-12 21:04:52,15.3,149,172
2022-02-11 22:30:00,16.4,152,165
2022-02-10 22:08:17,5.8,95,138
2022-02-10 22:08:17,4.3,102,123
2022-02-09 20:34:56,4.9,91,120
2022-02-09 20:34:56,4.4,109,130
2022-02-05 23:32:53,19.0,155,174
2022-02-03 22:37:52,13.3,159,177
2022-02-03 22:37:52,11.2,148,159
2022-02-02 21:18:11,10.4,118,163
2022-02-02 21:18:11,5.3,91,135
2022-02-01 21:27:11,13.0,121,166
2022-02-01 21:27:11,6.7,103,149
2022-02-01 21:27:11,11.4,159,175
2022-01-31 21:47:06,11.9,144,157
2022-01-28 22:04:03,20.5,156,177
2022-01-26 22:09:48,12.4,120,166
2022-01-26 22:09:48,4.9,84,116
2022-01-26 22:09:48,4.4,106,127
2022-01-25 21:56:06,8.8,114,155
2022-01-25 21:56:06,4.9,89,136
2022-01-25 21:56:06,12.6,154,173
2022-01-24 20:28:20,16.5,163,178
2022-01-23 22:05:44,5.6,94,136
2022-01-23 22:05:44,12.3,153,167
2022-01-22 22:38:29,17.5,143,168
2022-01-21 22:19:32,14.7,161,179
2022-01-21 22:19:32,16.9,162,175
2022-01-19 22:54:46,14.0,129,163
2022-01-18 23:33:36,4.5,83,111
2022-01-18 23:33:36,4.5,101,116
2022-01-17 21:47:02,4.6,87,141
2022-01-17 21:47:02,12.9,158,172
2022-01-16 22:04:20,5.1,90,135
2022-01-16 22:04:20,10.8,145,158
2022-01-14 22:08:17,11.4,161,175
2022-01-14 22:08:17,20.2,158,173
2022-01-13 22:29:42,11.4,123,159
2022-01-12 23:26:14,4.8,91,124
2022-01-12 23:26:14,13.1,156,173
2022-01-11 22:36:37,5.3,92,150
2022-01-11 22:36:37,13.1,157,175
2022-01-09 22:20:19,12.1,163,174
2022-01-09 22:20:19,12.9,156,176
2022-01-08 21:27:36,6.7,101,142
2022-01-08 21:27:36,13.4,160,178
2022-01-06 22:03:30,13.7,132,166
2022-01-04 22:16:47,4.7,88,146
2022-01-04 22:16:47,8.6,149,164
2022-01-03 22:27:44,7.0,105,143
2022-01-03 22:27:44,13.3,158,177
2021-12-30 23:29:15,12.5,160,176
2021-12-28 22:12:05,12.6,130,172
2021-12-26 22:39:19,12.5,130,188
2021-12-22 23:08:56,13.0,166,179
2021-12-20 22:06:01,9.8,115,157
2021-12-17 21:37:38,15.1,165,181
2021-12-16 22:21:49,5.2,100,122
2021-12-15 21:44:02,4.7,90,120
2021-12-15 21:44:02,12.1,152,171
2021-12-14 21:39:34,4.0,77,104
2021-12-14 21:39:34,4.1,95,118
2021-12-13 21:27:50,4.7,91,131
2021-12-13 21:27:50,12.6,155,171
2021-12-12 22:12:22,5.0,94,119
2021-12-12 22:12:22,12.5,154,172
2021-12-11 22:40:20,16.1,164,179
2021-12-10 22:16:21,11.9,119,164
2021-12-09 22:07:35,9.4,119,166
2021-12-09 22:07:35,4.8,93,116
2021-12-09 22:07:35,13.7,162,176
2021-12-08 22:06:12,3.4,76,104
2021-12-08 22:06:12,4.3,96,119
2021-12-07 21:48:23,5.1,86,135
2021-12-07 21:48:23,4.4,97,125
2021-12-06 22:05:14,5.0,89,130
2021-12-06 22:05:14,8.6,143,160
2021-12-04 22:53:46,18.5,160,187
2021-12-03 22:03:40,14.4,136,173
2021-12-02 21:03:59,13.7,162,179
2021-12-02 21:03:59,10.3,141,156
2021-12-01 21:27:11,4.5,83,119
2021-11-30 22:01:11,4.6,87,127
2021-11-30 22:01:11,11.1,158,178
2021-11-29 22:16:48,6.1,100,147
2021-11-29 22:16:48,13.2,159,176
2021-11-27 23:59:09,5.8,108,134
2021-11-26 23:54:40,6.2,124,163
2021-11-26 23:54:40,9.5,157,176
2021-11-26 23:54:40,20.5,156,170
2021-11-25 22:35:35,5.7,95,138
2021-11-25 22:35:35,11.3,161,178
2021-11-24 21:07:45,10.5,116,170
2021-11-23 21:47:20,5.7,97,146
2021-11-23 21:47:20,11.6,149,172
