Cycle start time,Cycle end time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-09-26 22:28:33,2022-09-28 01:31:16,58.0,45.0,78.0,17.6,3641.0,171.0,75.0,2022-09-26 22:28:33,2022-09-27 06:06:37,75.0,13.4,409.0,443.0,181.0,94.0,134.0,34.0,545.0,65.0,93.0,89.0
2022-09-25 23:02:09,2022-09-26 22:28:33,66.0,45.0,81.0,10.2,2096.0,145.0,62.0,2022-09-25 23:02:09,2022-09-26 06:47:26,78.0,13.2,442.0,465.0,294.0,46.0,102.0,23.0,568.0,59.0,95.0,84.0
2022-09-24 22:25:32,2022-09-25 23:02:09,89.0,48.0,90.0,15.8,2818.0,174.0,67.0,2022-09-24 22:25:32,2022-09-25 07:10:26,80.0,13.4,475.0,523.0,252.0,106.0,117.0,48.0,595.0,67.0,91.0,84.0
2022-09-23 23:39:02,2022-09-24 22:25:32,56.0,48.0,79.0,18.5,3216.0,176.0,74.0,2022-09-23 23:39:02,2022-09-24 06:31:11,71.0,13.5,382.0,410.0,152.0,86.0,144.0,28.0,536.0,44.0,93.0,80.0
2022-09-22 22:17:43,2022-09-23 23:39:02,62.0,47.0,79.0,13.1,2524.0,172.0,67.0,2022-09-22 22:17:43,2022-09-23 06:32:47,85.0,13.3,467.0,495.0,247.0,80.0,140.0,28.0,551.0,44.0,94.0,88.0
2022-09-21 21:57:29,2022-09-22 22:17:43,71.0,47.0,82.0,15.5,2993.0,151.0,69.0,2022-09-21 21:57:29,2022-09-22 06:06:19,85.0,13.4,474.0,488.0,207.0,88.0,179.0,14.0,554.0,47.0,96.0,83.0
2022-09-20 22:08:56,2022-09-21 21:57:29,61.0,48.0,82.0,15.5,2828.0,168.0,70.0,2022-09-20 22:08:56,2022-09-21 06:35:04,84.0,13.3,469.0,506.0,206.0,104.0,159.0,37.0,559.0,69.0,92.0,73.0
2022-09-19 22:48:18,2022-09-20 22:08:56,61.0,49.0,84.0,12.6,2316.0,153.0,67.0,2022-09-19 22:48:18,2022-09-20 06:35:30,70.0,13.5,436.0,465.0,164.0,85.0,187.0,29.0,625.0,116.0,94.0,72.0
2022-09-19 01:36:01,2022-09-19 22:48:18,42.0,46.0,82.0,15.8,2571.0,183.0,70.0,2022-09-19 01:36:01,2022-09-19 07:00:56,50.0,13.3,292.0,324.0,146.0,61.0,85.0,32.0,580.0,65.0,90.0,69.0
2022-09-17 23:01:12,2022-09-19 01:36:01,71.0,46.0,89.0,16.8,3029.0,182.0,67.0,2022-09-17 23:01:12,2022-09-18 06:38:47,72.0,13.4,417.0,458.0,215.0,87.0,115.0,41.0,578.0,95.0,91.0,67.0
2022-09-17 01:54:12,2022-09-17 23:01:12,42.0,54.0,77.0,11.3,2016.0,148.0,70.0,2022-09-17 01:54:12,2022-09-17 07:52:46,59.0,14.4,326.0,359.0,169.0,72.0,85.0,33.0,555.0,46.0,92.0,48.0
2022-09-15 21:58:45,2022-09-17 01:54:12,84.0,49.0,96.0,15.8,3249.0,159.0,75.0,2022-09-15 21:58:45,2022-09-16 06:29:13,80.0,14.1,468.0,507.0,251.0,86.0,131.0,39.0,581.0,62.0,92.0,88.0
2022-09-14 23:09:24,2022-09-15 21:58:45,84.0,45.0,95.0,17.2,2892.0,178.0,69.0,2022-09-14 23:09:24,2022-09-15 06:29:41,73.0,13.7,392.0,440.0,155.0,85.0,152.0,48.0,535.0,26.0,88.0,77.0
2022-09-13 22:07:48,2022-09-14 23:09:24,92.0,45.0,91.0,15.7,2941.0,164.0,67.0,2022-09-13 22:07:48,2022-09-14 06:05:35,91.0,13.9,432.0,476.0,241.0,47.0,144.0,44.0,473.0,0.0,90.0,84.0
2022-09-12 20:59:30,2022-09-13 22:07:48,83.0,48.0,91.0,8.0,2028.0,147.0,64.0,2022-09-12 20:59:30,2022-09-13 06:21:52,100.0,15.1,508.0,562.0,263.0,90.0,155.0,54.0,475.0,0.0,90.0,87.0
2022-09-11 21:29:11,2022-09-12 20:59:30,69.0,51.0,90.0,8.9,1971.0,135.0,69.0,2022-09-11 21:29:11,2022-09-12 06:45:18,100.0,15.9,492.0,556.0,194.0,129.0,169.0,64.0,494.0,23.0,88.0,85.0
2022-09-10 21:03:11,2022-09-11 21:29:11,35.0,55.0,76.0,6.1,1838.0,121.0,68.0,2022-09-10 21:03:11,2022-09-11 06:36:36,92.0,15.5,511.0,573.0,313.0,83.0,115.0,62.0,554.0,74.0,89.0,73.0
2022-09-09 22:55:08,2022-09-10 21:03:11,63.0,50.0,81.0,10.4,1997.0,150.0,69.0,2022-09-09 22:55:08,2022-09-10 07:02:03,75.0,13.8,447.0,486.0,244.0,90.0,113.0,39.0,598.0,92.0,91.0,85.0
2022-09-08 22:20:58,2022-09-09 22:55:08,89.0,44.0,91.0,15.4,2772.0,159.0,67.0,2022-09-08 22:20:58,2022-09-09 06:01:26,69.0,13.1,402.0,458.0,173.0,91.0,138.0,56.0,583.0,74.0,88.0,91.0
2022-09-07 22:55:03,2022-09-08 22:20:58,63.0,45.0,78.0,15.8,2777.0,184.0,66.0,2022-09-07 22:55:03,2022-09-08 06:30:35,68.0,13.4,397.0,455.0,212.0,79.0,106.0,58.0,581.0,74.0,87.0,87.0
2022-09-06 22:24:14,2022-09-07 22:55:03,62.0,44.0,77.0,15.6,2884.0,161.0,67.0,2022-09-06 22:24:14,2022-09-07 05:54:37,75.0,13.0,421.0,450.0,198.0,69.0,154.0,29.0,565.0,72.0,93.0,79.0
2022-09-05 22:43:25,2022-09-06 22:24:14,93.0,45.0,93.0,13.3,2486.0,148.0,67.0,2022-09-05 22:43:25,2022-09-06 06:31:35,69.0,13.2,418.0,468.0,177.0,75.0,166.0,50.0,603.0,95.0,91.0,76.0
2022-09-04 23:18:28,2022-09-05 22:43:25,68.0,44.0,82.0,15.7,2854.0,169.0,67.0,2022-09-04 23:18:28,2022-09-05 06:29:37,59.0,12.6,403.0,431.0,154.0,94.0,155.0,28.0,678.0,172.0,95.0,72.0
2022-09-03 23:07:23,2022-09-04 23:18:28,20.0,42.0,94.0,15.4,2841.0,156.0,75.0,2022-09-03 23:07:23,2022-09-04 01:46:00,26.0,12.5,151.0,158.0,98.0,32.0,21.0,7.0,575.0,74.0,95.0,88.0
2022-09-02 23:12:09,2022-09-03 23:07:23,69.0,46.0,80.0,14.7,2754.0,167.0,73.0,2022-09-02 23:12:09,2022-09-03 05:58:18,68.0,13.2,358.0,406.0,174.0,73.0,111.0,48.0,525.0,50.0,90.0,85.0
2022-09-01 22:41:48,2022-09-02 23:12:09,70.0,47.0,81.0,8.5,2023.0,151.0,61.0,2022-09-01 22:41:48,2022-09-02 06:31:24,83.0,13.2,436.0,469.0,221.0,88.0,127.0,33.0,525.0,44.0,94.0,83.0
